10×4 DataFrame
 Row │ alter      geschlecht  jahr   N
     │ UnitRang…  String      Int64  Int64
─────┼────────────────────────────────────────
   1 │ 0:30       Männlich     2016  12980804
   2 │ 0:30       Männlich     2017  13049733
   3 │ 0:30       Männlich     2018  13035105
   4 │ 0:30       Männlich     2019  12994349
   5 │ 0:30       Männlich     2020  12943028
   6 │ 0:30       Weiblich     2016  12065845
   7 │ 0:30       Weiblich     2017  12112491
   8 │ 0:30       Weiblich     2018  12117815
   9 │ 0:30       Weiblich     2019  12100550
  10 │ 0:30       Weiblich     2020  12070376
