GENESIS-Tabelle: 12411-0006
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;
Nationalität/Geschlecht/Familienstand;;;;
Fortschreibung des Bevölkerungsstandes;;;;
Deutschland;;;;
Bevölkerungsstand (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt
31.12.2015;unter 1 Jahr;382551;362170;744721
31.12.2015;1-Jährige;380101;359977;740078
31.12.2015;2-Jährige;367786;347822;715608
31.12.2015;3-Jährige;366762;346995;713757
31.12.2015;4-Jährige;359093;340289;699382
31.12.2015;5-Jährige;367898;348965;716863
31.12.2015;6-Jährige;362274;342442;704716
31.12.2015;7-Jährige;371378;351988;723366
31.12.2015;8-Jährige;370501;349951;720452
31.12.2015;9-Jährige;363739;342778;706517
31.12.2015;10-Jährige;368339;348360;716699
31.12.2015;11-Jährige;377066;356632;733698
31.12.2015;12-Jährige;377366;356615;733981
31.12.2015;13-Jährige;384238;362053;746291
31.12.2015;14-Jährige;394959;370038;764997
31.12.2015;15-Jährige;414430;387785;802215
31.12.2015;16-Jährige;423269;388025;811294
31.12.2015;17-Jährige;433447;397595;831042
31.12.2015;18-Jährige;459532;413639;873171
31.12.2015;19-Jährige;458792;413450;872242
31.12.2015;20-Jährige;454777;410082;864859
31.12.2015;21-Jährige;462645;420269;882914
31.12.2015;22-Jährige;479967;438088;918055
31.12.2015;23-Jährige;490304;450279;940583
31.12.2015;24-Jährige;510875;470592;981467
31.12.2015;25-Jährige;564094;517414;1081508
31.12.2015;26-Jährige;555439;514168;1069607
31.12.2015;27-Jährige;571878;527199;1099077
31.12.2015;28-Jährige;559651;517800;1077451
31.12.2015;29-Jährige;547653;512385;1060038
31.12.2015;30-Jährige;530264;498019;1028283
31.12.2015;31-Jährige;526211;497203;1023414
31.12.2015;32-Jährige;525713;500561;1026274
31.12.2015;33-Jährige;536345;512875;1049220
31.12.2015;34-Jährige;528536;512133;1040669
31.12.2015;35-Jährige;530571;515394;1045965
31.12.2015;36-Jährige;503981;491704;995685
31.12.2015;37-Jährige;497251;484559;981810
31.12.2015;38-Jährige;493218;480310;973528
31.12.2015;39-Jährige;482259;472497;954756
31.12.2015;40-Jährige;470864;459589;930453
31.12.2015;41-Jährige;475238;467556;942794
31.12.2015;42-Jährige;478608;472076;950684
31.12.2015;43-Jährige;520434;510837;1031271
31.12.2015;44-Jährige;573664;561222;1134886
31.12.2015;45-Jährige;594848;582482;1177330
31.12.2015;46-Jährige;640979;624114;1265093
31.12.2015;47-Jährige;671085;653581;1324666
31.12.2015;48-Jährige;688363;671607;1359970
31.12.2015;49-Jährige;707270;689375;1396645
31.12.2015;Insgesamt;40514123;41661561;82175684
31.12.2016;unter 1 Jahr;403564;384735;788299
31.12.2016;1-Jährige;391699;370820;762519
31.12.2016;2-Jährige;386856;366361;753217
31.12.2016;3-Jährige;373724;353479;727203
31.12.2016;4-Jährige;372745;352463;725208
31.12.2016;5-Jährige;364483;345166;709649
31.12.2016;6-Jährige;372791;353199;725990
31.12.2016;7-Jährige;367520;347094;714614
31.12.2016;8-Jährige;376926;356978;733904
31.12.2016;9-Jährige;375470;354300;729770
31.12.2016;10-Jährige;368644;346854;715498
31.12.2016;11-Jährige;372775;352305;725080
31.12.2016;12-Jährige;381238;360196;741434
31.12.2016;13-Jährige;381743;360084;741827
31.12.2016;14-Jährige;389122;365234;754356
31.12.2016;15-Jährige;401366;373495;774861
31.12.2016;16-Jährige;425176;391999;817175
31.12.2016;17-Jährige;437671;391987;829658
31.12.2016;18-Jährige;448700;403949;852649
31.12.2016;19-Jährige;474485;424041;898526
31.12.2016;20-Jährige;472015;424854;896869
31.12.2016;21-Jährige;464476;419395;883871
31.12.2016;22-Jährige;472217;428110;900327
31.12.2016;23-Jährige;488896;446961;935857
31.12.2016;24-Jährige;498326;458781;957107
31.12.2016;25-Jährige;517835;478296;996131
31.12.2016;26-Jährige;569618;524395;1094013
31.12.2016;27-Jährige;560561;520945;1081506
31.12.2016;28-Jährige;576162;532729;1108891
31.12.2016;29-Jährige;562929;523286;1086215
31.12.2016;30-Jährige;550259;517944;1068203
31.12.2016;31-Jährige;532987;503341;1036328
31.12.2016;32-Jährige;528086;501801;1029887
31.12.2016;33-Jährige;527169;505012;1032181
31.12.2016;34-Jährige;537679;516797;1054476
31.12.2016;35-Jährige;529587;515876;1045463
31.12.2016;36-Jährige;531441;519009;1050450
31.12.2016;37-Jährige;504917;494747;999664
31.12.2016;38-Jährige;497865;487725;985590
31.12.2016;39-Jährige;493796;483075;976871
31.12.2016;40-Jährige;482589;475288;957877
31.12.2016;41-Jährige;471244;461879;933123
31.12.2016;42-Jährige;475382;469802;945184
31.12.2016;43-Jährige;478790;474234;953024
31.12.2016;44-Jährige;520352;512426;1032778
31.12.2016;45-Jährige;573121;562689;1135810
31.12.2016;46-Jährige;594048;583694;1177742
31.12.2016;47-Jährige;639442;624889;1264331
31.12.2016;48-Jährige;669654;654117;1323771
31.12.2016;49-Jährige;686478;671780;1358258
31.12.2016;Insgesamt;40697118;41824535;82521653
31.12.2017;unter 1 Jahr;402569;382505;785074
31.12.2017;1-Jährige;407765;388384;796149
31.12.2017;2-Jährige;395923;374705;770628
31.12.2017;3-Jährige;390784;370084;760868
31.12.2017;4-Jährige;377177;356882;734059
31.12.2017;5-Jährige;376371;355717;732088
31.12.2017;6-Jährige;367598;347930;715528
31.12.2017;7-Jährige;376147;356439;732586
31.12.2017;8-Jährige;370796;350372;721168
31.12.2017;9-Jährige;380506;360340;740846
31.12.2017;10-Jährige;378707;357375;736082
31.12.2017;11-Jährige;371956;349789;721745
31.12.2017;12-Jährige;375806;355014;730820
31.12.2017;13-Jährige;384110;362780;746890
31.12.2017;14-Jährige;384680;362548;747228
31.12.2017;15-Jährige;392357;367881;760238
31.12.2017;16-Jährige;405608;376356;781964
31.12.2017;17-Jährige;429432;394753;824185
31.12.2017;18-Jährige;444730;397216;841946
31.12.2017;19-Jährige;459185;413049;872234
31.12.2017;20-Jährige;483514;434650;918164
31.12.2017;21-Jährige;479705;434280;913985
31.12.2017;22-Jährige;472326;427501;899827
31.12.2017;23-Jährige;480760;437546;918306
31.12.2017;24-Jährige;496771;455461;952232
31.12.2017;25-Jährige;505167;466443;971610
31.12.2017;26-Jährige;524279;485393;1009672
31.12.2017;27-Jährige;574870;530790;1105660
31.12.2017;28-Jährige;565458;527097;1092555
31.12.2017;29-Jährige;580048;538535;1118583
31.12.2017;30-Jährige;566445;528288;1094733
31.12.2017;31-Jährige;553350;522536;1075886
31.12.2017;32-Jährige;535742;507806;1043548
31.12.2017;33-Jährige;530930;505949;1036879
31.12.2017;34-Jährige;530230;508976;1039206
31.12.2017;35-Jährige;539828;520393;1060221
31.12.2017;36-Jährige;531888;519324;1051212
31.12.2017;37-Jährige;533983;522512;1056495
31.12.2017;38-Jährige;507117;497611;1004728
31.12.2017;39-Jährige;499977;490577;990554
31.12.2017;40-Jährige;495718;485768;981486
31.12.2017;41-Jährige;484721;478122;962843
31.12.2017;42-Jährige;473070;464448;937518
31.12.2017;43-Jährige;477311;472346;949657
31.12.2017;44-Jährige;480406;476447;956853
31.12.2017;45-Jährige;521427;514160;1035587
31.12.2017;46-Jährige;573950;564343;1138293
